name,height,age,season,team_name,team_id,injury_type,injury_beginning_date,injury_recovering_date
Bogdan Tejić,187,21,2022/2023,KK Zlatibor Mozzart,70,Tendinitis rotuliana,2023-04-08,2023-05-10
Bogdan Tejić,187,21,2022/2023,KK Zlatibor Mozzart,70,Tendinitis rotuliana,2022-10-01,2022-11-02
Bogdan Tejić,187,21,2022/2023,KK Zlatibor Mozzart,70,Lesión de hombro,2022-12-16,2023-01-30
Marko Tejić,209,27,2022/2023,KK Zlatibor Mozzart,70,Fractura de dedo,2022-10-12,2022-11-09
Marko Tejić,209,27,2022/2023,KK Zlatibor Mozzart,70,Distensión muscular,2022-11-28,2022-12-06
Marko Tejić,209,27,2022/2023,KK Zlatibor Mozzart,70,Rotura de fibras,2022-09-02,2022-09-17
Marko Tejić,209,27,2022/2023,KK Zlatibor Mozzart,70,Lumbalgia,2023-04-29,2023-05-13
Jordan Rashaun Watson,190,27,2022/2023,KK Zlatibor Mozzart,70,Esguince de tobillo,2023-01-26,2023-02-05
Jordan Rashaun Watson,190,27,2022/2023,KK Zlatibor Mozzart,70,Tendinitis rotuliana,2022-10-07,2022-11-04
Jordan Rashaun Watson,190,27,2022/2023,KK Zlatibor Mozzart,70,Fractura de dedo,2022-12-11,2023-01-08
Render Antonio Woods,185,27,2022/2023,KK Zlatibor Mozzart,70,Lesión de isquiotibiales,2022-12-25,2023-01-21
Render Antonio Woods,185,27,2022/2023,KK Zlatibor Mozzart,70,Distensión muscular,2022-11-12,2022-11-21
Render Antonio Woods,185,27,2022/2023,KK Zlatibor Mozzart,70,Lesión de isquiotibiales,2022-11-24,2022-12-05
Aleksa Čabrilo,206,24,2022/2023,KK Zlatibor Mozzart,70,Lesión de hombro,2023-01-26,2023-03-05
Aleksa Čabrilo,206,24,2022/2023,KK Zlatibor Mozzart,70,Contusión muscular,2023-04-28,2023-05-02
Aleksa Čabrilo,206,24,2022/2023,KK Zlatibor Mozzart,70,Tendinitis rotuliana,2023-05-15,2023-06-10
Boško Čorbić,191,27,2022/2023,KK Zlatibor Mozzart,70,Contusión muscular,2022-10-12,2022-10-22
Boško Čorbić,191,27,2022/2023,KK Zlatibor Mozzart,70,Lesión de hombro,2023-04-10,2023-04-26
Boško Čorbić,191,27,2022/2023,KK Zlatibor Mozzart,70,Lesión de cuádriceps,2022-09-14,2022-10-02
Boško Čorbić,191,27,2022/2023,KK Zlatibor Mozzart,70,Lesión de isquiotibiales,2023-01-16,2023-02-02
Brano Đukanović,196,27,2022/2023,KK Zlatibor Mozzart,70,Esguince de tobillo,2022-11-29,2022-12-18
Brano Đukanović,196,27,2022/2023,KK Zlatibor Mozzart,70,Contusión muscular,2023-01-21,2023-01-31
Brano Đukanović,196,27,2022/2023,KK Zlatibor Mozzart,70,Distensión muscular,2023-04-12,2023-04-26
Brano Đukanović,196,27,2022/2023,KK Zlatibor Mozzart,70,Contusión muscular,2023-04-29,2023-05-03
Filip Đuran,198,31,2022/2023,KK Zlatibor Mozzart,70,Lumbalgia,2023-02-12,2023-02-24
Filip Đuran,198,31,2022/2023,KK Zlatibor Mozzart,70,Lesión de isquiotibiales,2023-03-30,2023-04-14
Filip Đuran,198,31,2022/2023,KK Zlatibor Mozzart,70,Contusión muscular,2023-06-09,2023-06-16
Ivan Batur,203,31,2022/2023,KK Gorica,72,Contusión muscular,2023-02-09,2023-02-13
Ivan Batur,203,31,2022/2023,KK Gorica,72,Tendinitis rotuliana,2022-10-30,2022-11-23
Dino Cinac,201,33,2022/2023,KK Gorica,72,Rotura de fibras,2022-09-01,2022-09-28
Dino Cinac,201,33,2022/2023,KK Gorica,72,Rotura de fibras,2023-03-31,2023-04-21
Dino Cinac,201,33,2022/2023,KK Gorica,72,Esguince de tobillo,2023-05-24,2023-06-03
Jure Gunjina,202,30,2022/2023,KK Gorica,72,Lesión de hombro,2023-05-14,2023-06-22
Jure Gunjina,202,30,2022/2023,KK Gorica,72,Contusión muscular,2022-12-14,2022-12-17
Jure Gunjina,202,30,2022/2023,KK Gorica,72,Tendinitis rotuliana,2022-11-07,2022-12-08
Toni Jelenković,180,25,2022/2023,KK Gorica,72,Contusión muscular,2022-11-02,2022-11-12
Toni Jelenković,180,25,2022/2023,KK Gorica,72,Esguince de tobillo,2023-01-01,2023-01-18
Toni Jelenković,180,25,2022/2023,KK Gorica,72,Distensión muscular,2023-06-10,2023-06-19
Seth Christian Le Day,201,26,2022/2023,KK Gorica,72,Rotura de fibras,2022-10-18,2022-11-07
Seth Christian Le Day,201,26,2022/2023,KK Gorica,72,Fractura de dedo,2023-04-25,2023-05-18
Ivan Tvrtko Majić,197,24,2022/2023,KK Gorica,72,Distensión muscular,2023-01-28,2023-02-09
Ivan Tvrtko Majić,197,24,2022/2023,KK Gorica,72,Rotura de fibras,2023-01-18,2023-02-12
Ante Mašić,200,36,2022/2023,KK Gorica,72,Contusión muscular,2023-01-03,2023-01-13
Ante Mašić,200,36,2022/2023,KK Gorica,72,Contusión muscular,2023-03-16,2023-03-21
Ante Mašić,200,36,2022/2023,KK Gorica,72,Fractura de dedo,2023-05-19,2023-06-27
Karlo Mikšić,195,24,2022/2023,KK Gorica,72,Distensión muscular,2023-01-20,2023-01-26
Karlo Mikšić,195,24,2022/2023,KK Gorica,72,Lumbalgia,2023-05-18,2023-05-30
Karlo Mikšić,195,24,2022/2023,KK Gorica,72,Tendinitis rotuliana,2023-01-31,2023-02-14
Karlo Mikšić,195,24,2022/2023,KK Gorica,72,Lesión de hombro,2023-05-09,2023-06-11
Frano Miloloža,194,20,2022/2023,KK Gorica,72,Contusión muscular,2023-02-24,2023-03-06
Frano Miloloža,194,20,2022/2023,KK Gorica,72,Lesión de cuádriceps,2023-04-22,2023-05-14
Ivan Nakić - Vojnović,208,23,2022/2023,KK Gorica,72,Fractura de dedo,2023-03-16,2023-04-12
Ivan Nakić - Vojnović,208,23,2022/2023,KK Gorica,72,Fractura de dedo,2022-09-23,2022-10-26
Ivan Nakić - Vojnović,208,23,2022/2023,KK Gorica,72,Lesión de cuádriceps,2022-11-17,2022-12-12
Ivan Oštrić,191,19,2022/2023,KK Gorica,72,Esguince de tobillo,2023-05-16,2023-05-25
Ivan Oštrić,191,19,2022/2023,KK Gorica,72,Lesión de hombro,2022-10-22,2022-11-16
Ivan Oštrić,191,19,2022/2023,KK Gorica,72,Contusión muscular,2023-05-28,2023-06-01
Stipe Perica,198,18,2022/2023,KK Gorica,72,Esguince de tobillo,2022-11-13,2022-12-01
Stipe Perica,198,18,2022/2023,KK Gorica,72,Lumbalgia,2022-10-09,2022-10-29
Stipe Perica,198,18,2022/2023,KK Gorica,72,Contusión muscular,2023-02-21,2023-02-28
Vito Porobić,198,21,2022/2023,KK Gorica,72,Lumbalgia,2022-10-12,2022-10-29
Vito Porobić,198,21,2022/2023,KK Gorica,72,Lesión de cuádriceps,2023-02-10,2023-03-04
Vito Porobić,198,21,2022/2023,KK Gorica,72,Contusión muscular,2022-10-06,2022-10-09
Vito Porobić,198,21,2022/2023,KK Gorica,72,Fractura de dedo,2023-01-26,2023-03-07
Stipe Sokol,210,20,2022/2023,KK Gorica,72,Lesión de isquiotibiales,2022-10-21,2022-11-13
Stipe Sokol,210,20,2022/2023,KK Gorica,72,Lesión de isquiotibiales,2022-11-25,2022-12-19
Karlo Uljarević,188,23,2022/2023,KK Gorica,72,Tendinitis rotuliana,2022-09-24,2022-10-08
Karlo Uljarević,188,23,2022/2023,KK Gorica,72,Lesión de cuádriceps,2023-01-29,2023-02-09
Karlo Uljarević,188,23,2022/2023,KK Gorica,72,Lesión de cuádriceps,2023-04-09,2023-04-30
Karlo Uljarević,188,23,2022/2023,KK Gorica,72,Distensión muscular,2023-05-30,2023-06-07
Filip Anđušić,207,20,2022/2023,KK Podgorica Bemax,75,Lesión de hombro,2022-12-02,2023-01-07
Filip Anđušić,207,20,2022/2023,KK Podgorica Bemax,75,Distensión muscular,2022-10-11,2022-10-18
Filip Anđušić,207,20,2022/2023,KK Podgorica Bemax,75,Lesión de hombro,2023-03-15,2023-04-26
Luka Barišić,201,24,2022/2023,KK Podgorica Bemax,75,Fractura de dedo,2022-11-13,2022-12-18
Luka Barišić,201,24,2022/2023,KK Podgorica Bemax,75,Fractura de dedo,2023-01-09,2023-02-12
Luka Barišić,201,24,2022/2023,KK Podgorica Bemax,75,Contusión muscular,2022-09-05,2022-09-12
Luka Barišić,201,24,2022/2023,KK Podgorica Bemax,75,Contusión muscular,2023-06-07,2023-06-14
Ludovic Beyhurst,172,23,2022/2023,KK Podgorica Bemax,75,Lesión de isquiotibiales,2023-02-24,2023-03-20
Ludovic Beyhurst,172,23,2022/2023,KK Podgorica Bemax,75,Lesión de hombro,2023-04-06,2023-04-30
Luka Bogavac,195,19,2022/2023,KK Podgorica Bemax,75,Tendinitis rotuliana,2023-02-02,2023-03-02
Luka Bogavac,195,19,2022/2023,KK Podgorica Bemax,75,Fractura de dedo,2023-05-06,2023-06-07
Luka Bogavac,195,19,2022/2023,KK Podgorica Bemax,75,Lesión de isquiotibiales,2023-03-15,2023-04-01
Luka Bogavac,195,19,2022/2023,KK Podgorica Bemax,75,Lesión de hombro,2022-09-12,2022-10-08
Domen Bratož,186,29,2022/2023,KK Podgorica Bemax,75,Lumbalgia,2022-09-05,2022-09-16
Domen Bratož,186,29,2022/2023,KK Podgorica Bemax,75,Lesión de hombro,2022-09-26,2022-11-07
Domen Bratož,186,29,2022/2023,KK Podgorica Bemax,75,Lesión de hombro,2023-05-13,2023-06-20
Domen Bratož,186,29,2022/2023,KK Podgorica Bemax,75,Tendinitis rotuliana,2023-02-28,2023-03-21
Danilo Brnović,200,22,2022/2023,KK Podgorica Bemax,75,Fractura de dedo,2023-01-07,2023-02-15
Danilo Brnović,200,22,2022/2023,KK Podgorica Bemax,75,Distensión muscular,2022-10-20,2022-11-04
Selim Moise Fofana,190,23,2022/2023,KK Podgorica Bemax,75,Esguince de tobillo,2023-04-14,2023-04-25
Selim Moise Fofana,190,23,2022/2023,KK Podgorica Bemax,75,Esguince de tobillo,2023-03-06,2023-03-22
Selim Moise Fofana,190,23,2022/2023,KK Podgorica Bemax,75,Distensión muscular,2023-01-30,2023-02-05
Selim Moise Fofana,190,23,2022/2023,KK Podgorica Bemax,75,Lesión de cuádriceps,2022-11-29,2022-12-22
Amar Hot,183,18,2022/2023,KK Podgorica Bemax,75,Distensión muscular,2023-03-07,2023-03-20
Amar Hot,183,18,2022/2023,KK Podgorica Bemax,75,Rotura de fibras,2023-01-18,2023-02-09
Vladan Kaluđerović,198,24,2022/2023,KK Podgorica Bemax,75,Tendinitis rotuliana,2023-01-30,2023-02-28
Vladan Kaluđerović,198,24,2022/2023,KK Podgorica Bemax,75,Lesión de cuádriceps,2023-04-28,2023-05-11
Marko Kljajević,200,21,2022/2023,KK Podgorica Bemax,75,Distensión muscular,2023-03-23,2023-03-31
Marko Kljajević,200,21,2022/2023,KK Podgorica Bemax,75,Rotura de fibras,2022-10-17,2022-11-05
Petar Radonjić,189,17,2022/2023,KK Podgorica Bemax,75,Esguince de tobillo,2023-06-02,2023-06-13
Petar Radonjić,189,17,2022/2023,KK Podgorica Bemax,75,Lesión de isquiotibiales,2023-03-08,2023-04-01
Petar Radonjić,189,17,2022/2023,KK Podgorica Bemax,75,Tendinitis rotuliana,2022-10-26,2022-11-27
Marko Radunović,200,16,2022/2023,KK Podgorica Bemax,75,Fractura de dedo,2022-09-13,2022-10-18
Marko Radunović,200,16,2022/2023,KK Podgorica Bemax,75,Lesión de hombro,2023-02-15,2023-03-30
Marko Radunović,200,16,2022/2023,KK Podgorica Bemax,75,Lesión de hombro,2023-04-26,2023-05-18
Marko Radunović,200,16,2022/2023,KK Podgorica Bemax,75,Tendinitis rotuliana,2022-10-30,2022-12-03
Jovan Vojinović,193,23,2022/2023,KK Podgorica Bemax,75,Esguince de tobillo,2023-02-03,2023-02-10
Jovan Vojinović,193,23,2022/2023,KK Podgorica Bemax,75,Contusión muscular,2022-10-20,2022-10-24
Viktor Vujisić,200,21,2022/2023,KK Podgorica Bemax,75,Rotura de fibras,2023-03-18,2023-04-03
Viktor Vujisić,200,21,2022/2023,KK Podgorica Bemax,75,Contusión muscular,2023-06-04,2023-06-12
Mladen Vujić,205,24,2022/2023,KK Podgorica Bemax,75,Lesión de hombro,2022-11-19,2022-12-27
Mladen Vujić,205,24,2022/2023,KK Podgorica Bemax,75,Lumbalgia,2022-10-21,2022-11-07
Mladen Vujić,205,24,2022/2023,KK Podgorica Bemax,75,Contusión muscular,2023-01-22,2023-01-31
Lazar Vukčević,203,19,2022/2023,KK Podgorica Bemax,75,Lesión de cuádriceps,2023-04-16,2023-05-02
Lazar Vukčević,203,19,2022/2023,KK Podgorica Bemax,75,Contusión muscular,2023-03-05,2023-03-11
Ognjen Čarapić,193,24,2022/2023,KK Podgorica Bemax,75,Lesión de cuádriceps,2022-10-02,2022-10-23
Ognjen Čarapić,193,24,2022/2023,KK Podgorica Bemax,75,Lumbalgia,2022-12-07,2022-12-18
Pavle Đurišić,207,22,2022/2023,KK Podgorica Bemax,75,Contusión muscular,2022-12-18,2022-12-22
Pavle Đurišić,207,22,2022/2023,KK Podgorica Bemax,75,Lesión de hombro,2022-09-26,2022-10-11
Srđan Adamović,198,18,2022/2023,KK Borac WWIN,76,Fractura de dedo,2022-12-15,2023-01-08
Srđan Adamović,198,18,2022/2023,KK Borac WWIN,76,Lesión de isquiotibiales,2023-02-16,2023-03-15
Srđan Adamović,198,18,2022/2023,KK Borac WWIN,76,Distensión muscular,2022-09-02,2022-09-16
Vuk Bošković,200,19,2022/2023,KK Borac WWIN,76,Distensión muscular,2023-06-04,2023-06-11
Vuk Bošković,200,19,2022/2023,KK Borac WWIN,76,Tendinitis rotuliana,2022-10-27,2022-11-15
Vuk Bošković,200,19,2022/2023,KK Borac WWIN,76,Esguince de tobillo,2022-09-08,2022-09-17
Amsal Delalić,202,19,2022/2023,KK Borac WWIN,76,Fractura de dedo,2023-02-13,2023-03-23
Amsal Delalić,202,19,2022/2023,KK Borac WWIN,76,Esguince de tobillo,2023-01-14,2023-01-23
Amsal Delalić,202,19,2022/2023,KK Borac WWIN,76,Esguince de tobillo,2023-04-04,2023-04-13
Boris Dragojević,194,20,2022/2023,KK Borac WWIN,76,Lesión de isquiotibiales,2023-05-02,2023-05-14
Boris Dragojević,194,20,2022/2023,KK Borac WWIN,76,Contusión muscular,2023-05-21,2023-05-29
Boris Dragojević,194,20,2022/2023,KK Borac WWIN,76,Lesión de hombro,2023-05-16,2023-06-03
Boris Dragojević,194,20,2022/2023,KK Borac WWIN,76,Fractura de dedo,2022-09-23,2022-11-01
Srđan Gavrić,196,27,2022/2023,KK Borac WWIN,76,Rotura de fibras,2023-04-23,2023-05-11
Srđan Gavrić,196,27,2022/2023,KK Borac WWIN,76,Esguince de tobillo,2023-03-25,2023-04-01
Srđan Gavrić,196,27,2022/2023,KK Borac WWIN,76,Lumbalgia,2022-10-26,2022-11-12
Srđan Gavrić,196,27,2022/2023,KK Borac WWIN,76,Contusión muscular,2022-10-08,2022-10-18
Stefan Lakić,201,27,2022/2023,KK Borac WWIN,76,Lesión de cuádriceps,2022-10-04,2022-10-18
Stefan Lakić,201,27,2022/2023,KK Borac WWIN,76,Distensión muscular,2023-06-08,2023-06-17
Aleksandar Langović,205,21,2022/2023,KK Borac WWIN,76,Lesión de cuádriceps,2023-05-30,2023-06-21
Aleksandar Langović,205,21,2022/2023,KK Borac WWIN,76,Tendinitis rotuliana,2023-04-09,2023-05-07
Aleksandar Langović,205,21,2022/2023,KK Borac WWIN,76,Lesión de isquiotibiales,2022-12-20,2023-01-02
Aleksandar Langović,205,21,2022/2023,KK Borac WWIN,76,Lumbalgia,2023-02-21,2023-03-07
Jaron Martin,176,27,2022/2023,KK Borac WWIN,76,Lumbalgia,2022-10-19,2022-11-01
Jaron Martin,176,27,2022/2023,KK Borac WWIN,76,Lesión de cuádriceps,2023-02-08,2023-03-03
Jaron Martin,176,27,2022/2023,KK Borac WWIN,76,Tendinitis rotuliana,2022-11-18,2022-12-13
Jan Rebec,192,29,2022/2023,KK Borac WWIN,76,Contusión muscular,2022-10-17,2022-10-21
Jan Rebec,192,29,2022/2023,KK Borac WWIN,76,Lesión de isquiotibiales,2023-04-10,2023-04-22
Jan Rebec,192,29,2022/2023,KK Borac WWIN,76,Lesión de isquiotibiales,2022-11-06,2022-11-27
Jan Rebec,192,29,2022/2023,KK Borac WWIN,76,Rotura de fibras,2023-06-15,2023-06-29
Nemanja Reljić,208,22,2022/2023,KK Borac WWIN,76,Lesión de cuádriceps,2023-03-30,2023-04-12
Nemanja Reljić,208,22,2022/2023,KK Borac WWIN,76,Lesión de cuádriceps,2022-09-27,2022-10-20
Nemanja Reljić,208,22,2022/2023,KK Borac WWIN,76,Tendinitis rotuliana,2023-02-07,2023-03-12
Nemanja Reljić,208,22,2022/2023,KK Borac WWIN,76,Lesión de cuádriceps,2023-05-18,2023-05-31
Teodor Simić,214,18,2022/2023,KK Borac WWIN,76,Distensión muscular,2023-05-05,2023-05-20
Teodor Simić,214,18,2022/2023,KK Borac WWIN,76,Fractura de dedo,2023-02-27,2023-03-22
Dušan Tanasković,208,21,2022/2023,KK Borac WWIN,76,Lesión de cuádriceps,2023-01-21,2023-02-03
Dušan Tanasković,208,21,2022/2023,KK Borac WWIN,76,Lesión de hombro,2023-04-08,2023-04-30
Dušan Tanasković,208,21,2022/2023,KK Borac WWIN,76,Rotura de fibras,2022-09-14,2022-10-10
Dušan Tanasković,208,21,2022/2023,KK Borac WWIN,76,Lesión de hombro,2023-01-15,2023-02-28
Siniša Šorak,209,19,2022/2023,KK Borac WWIN,76,Distensión muscular,2023-02-06,2023-02-15
Siniša Šorak,209,19,2022/2023,KK Borac WWIN,76,Lesión de cuádriceps,2022-09-04,2022-09-25
Kenneth Carpenter,196,26,2022/2023,KK Pelister-Bitola,81,Distensión muscular,2023-03-25,2023-04-08
Kenneth Carpenter,196,26,2022/2023,KK Pelister-Bitola,81,Lesión de isquiotibiales,2022-09-16,2022-09-30
Dontay Caruthers,185,27,2022/2023,KK Pelister-Bitola,81,Rotura de fibras,2023-03-12,2023-03-29
Dontay Caruthers,185,27,2022/2023,KK Pelister-Bitola,81,Lumbalgia,2023-02-22,2023-03-08
Blagoj Dimitriev,202,22,2022/2023,KK Pelister-Bitola,81,Lesión de cuádriceps,2023-02-14,2023-03-05
Blagoj Dimitriev,202,22,2022/2023,KK Pelister-Bitola,81,Lesión de hombro,2022-10-14,2022-11-17
Oliver Dvojakovski,204,25,2022/2023,KK Pelister-Bitola,81,Distensión muscular,2022-09-26,2022-10-03
Oliver Dvojakovski,204,25,2022/2023,KK Pelister-Bitola,81,Lesión de isquiotibiales,2023-04-15,2023-05-03
Sead Hadzifezovic,202,33,2022/2023,KK Pelister-Bitola,81,Lumbalgia,2023-04-15,2023-04-29
Sead Hadzifezovic,202,33,2022/2023,KK Pelister-Bitola,81,Lumbalgia,2022-12-20,2022-12-31
Sead Hadzifezovic,202,33,2022/2023,KK Pelister-Bitola,81,Rotura de fibras,2023-02-24,2023-03-11
Sead Hadzifezovic,202,33,2022/2023,KK Pelister-Bitola,81,Lumbalgia,2023-01-24,2023-02-01
Aleksandar Jovanovski,187,23,2022/2023,KK Pelister-Bitola,81,Lesión de hombro,2023-05-28,2023-06-27
Aleksandar Jovanovski,187,23,2022/2023,KK Pelister-Bitola,81,Tendinitis rotuliana,2022-12-22,2023-01-06
Aleksandar Jovanovski,187,23,2022/2023,KK Pelister-Bitola,81,Lumbalgia,2022-09-29,2022-10-15
Aleksandar Jovanovski,187,23,2022/2023,KK Pelister-Bitola,81,Esguince de tobillo,2023-02-02,2023-02-12
Dimitar Karadzovski,190,37,2022/2023,KK Pelister-Bitola,81,Distensión muscular,2023-01-27,2023-02-05
Dimitar Karadzovski,190,37,2022/2023,KK Pelister-Bitola,81,Lesión de cuádriceps,2022-09-04,2022-09-17
Andrej Maslinko,208,25,2022/2023,KK Pelister-Bitola,81,Lumbalgia,2022-11-06,2022-11-15
Andrej Maslinko,208,25,2022/2023,KK Pelister-Bitola,81,Lumbalgia,2022-12-27,2023-01-11
Andrej Maslinko,208,25,2022/2023,KK Pelister-Bitola,81,Rotura de fibras,2023-03-01,2023-03-23
Pavle Mihajloski,196,23,2022/2023,KK Pelister-Bitola,81,Lumbalgia,2022-09-22,2022-10-12
Pavle Mihajloski,196,23,2022/2023,KK Pelister-Bitola,81,Lumbalgia,2023-04-24,2023-05-01
Nedim Mustafica,199,31,2022/2023,KK Pelister-Bitola,81,Lesión de cuádriceps,2023-03-27,2023-04-19
Nedim Mustafica,199,31,2022/2023,KK Pelister-Bitola,81,Lumbalgia,2022-10-29,2022-11-09
Darko Najdovski,175,28,2022/2023,KK Pelister-Bitola,81,Esguince de tobillo,2022-11-27,2022-12-09
Darko Najdovski,175,28,2022/2023,KK Pelister-Bitola,81,Lesión de hombro,2023-03-05,2023-04-03
Darko Najdovski,175,28,2022/2023,KK Pelister-Bitola,81,Lesión de isquiotibiales,2022-10-25,2022-11-17
Martin Ristevski,189,26,2022/2023,KK Pelister-Bitola,81,Lumbalgia,2023-03-25,2023-04-10
Martin Ristevski,189,26,2022/2023,KK Pelister-Bitola,81,Rotura de fibras,2023-02-06,2023-02-21
Ivan Sapundjiev,191,27,2022/2023,KK Pelister-Bitola,81,Lesión de cuádriceps,2023-02-18,2023-03-07
Ivan Sapundjiev,191,27,2022/2023,KK Pelister-Bitola,81,Distensión muscular,2023-05-20,2023-05-26
Ivan Sapundjiev,191,27,2022/2023,KK Pelister-Bitola,81,Lesión de isquiotibiales,2022-12-09,2023-01-04
Ivan Sapundjiev,191,27,2022/2023,KK Pelister-Bitola,81,Lesión de cuádriceps,2022-11-15,2022-12-06
Nikola Silađi,205,30,2022/2023,KK Pelister-Bitola,81,Lesión de isquiotibiales,2023-01-10,2023-01-24
Nikola Silađi,205,30,2022/2023,KK Pelister-Bitola,81,Fractura de dedo,2022-11-18,2022-12-13
Boban Stajic,185,28,2022/2023,KK Pelister-Bitola,81,Lesión de isquiotibiales,2023-05-11,2023-05-26
Boban Stajic,185,28,2022/2023,KK Pelister-Bitola,81,Contusión muscular,2023-06-17,2023-06-27
Boban Stajic,185,28,2022/2023,KK Pelister-Bitola,81,Lesión de hombro,2023-02-09,2023-03-06
Boban Stajic,185,28,2022/2023,KK Pelister-Bitola,81,Distensión muscular,2022-10-05,2022-10-17
Georgi Trajkovski,190,25,2022/2023,KK Pelister-Bitola,81,Contusión muscular,2023-01-19,2023-01-26
Georgi Trajkovski,190,25,2022/2023,KK Pelister-Bitola,81,Lesión de hombro,2023-02-28,2023-03-16
Georgi Trajkovski,190,25,2022/2023,KK Pelister-Bitola,81,Rotura de fibras,2023-02-06,2023-02-21
Marko Bošnjak,198,22,2022/2023,KK Vrijednosnice Osijek,83,Contusión muscular,2022-09-30,2022-10-03
Marko Bošnjak,198,22,2022/2023,KK Vrijednosnice Osijek,83,Lesión de cuádriceps,2022-10-10,2022-10-29
Marko Bošnjak,198,22,2022/2023,KK Vrijednosnice Osijek,83,Lesión de isquiotibiales,2023-05-18,2023-06-16
Christian Alexander Bradford,185,27,2022/2023,KK Vrijednosnice Osijek,83,Contusión muscular,2023-04-19,2023-04-22
Christian Alexander Bradford,185,27,2022/2023,KK Vrijednosnice Osijek,83,Lesión de hombro,2022-12-06,2023-01-10
Christian Alexander Bradford,185,27,2022/2023,KK Vrijednosnice Osijek,83,Lesión de cuádriceps,2023-05-15,2023-06-09
Dino Butorac,192,31,2022/2023,KK Vrijednosnice Osijek,83,Esguince de tobillo,2022-10-23,2022-11-06
Dino Butorac,192,31,2022/2023,KK Vrijednosnice Osijek,83,Lesión de cuádriceps,2023-05-17,2023-05-29
Vuk Dmitrović,201,20,2022/2023,KK Vrijednosnice Osijek,83,Distensión muscular,2023-01-05,2023-01-10
Vuk Dmitrović,201,20,2022/2023,KK Vrijednosnice Osijek,83,Contusión muscular,2023-05-27,2023-06-06
Vuk Dmitrović,201,20,2022/2023,KK Vrijednosnice Osijek,83,Rotura de fibras,2022-11-21,2022-12-14
Vuk Dmitrović,201,20,2022/2023,KK Vrijednosnice Osijek,83,Lesión de cuádriceps,2023-01-23,2023-02-13
Gabrijel Flanjak,191,17,2022/2023,KK Vrijednosnice Osijek,83,Lumbalgia,2023-02-21,2023-03-12
Gabrijel Flanjak,191,17,2022/2023,KK Vrijednosnice Osijek,83,Lesión de hombro,2022-10-04,2022-10-20
Gabrijel Flanjak,191,17,2022/2023,KK Vrijednosnice Osijek,83,Lesión de cuádriceps,2023-06-13,2023-06-26
Filip Krajina,209,27,2022/2023,KK Vrijednosnice Osijek,83,Lumbalgia,2023-01-08,2023-01-19
Filip Krajina,209,27,2022/2023,KK Vrijednosnice Osijek,83,Lesión de hombro,2022-11-16,2022-12-28
Filip Krajina,209,27,2022/2023,KK Vrijednosnice Osijek,83,Lesión de cuádriceps,2023-02-27,2023-03-11
Filip Krajina,209,27,2022/2023,KK Vrijednosnice Osijek,83,Tendinitis rotuliana,2023-03-20,2023-04-23
Nikola Martinović,195,16,2022/2023,KK Vrijednosnice Osijek,83,Lesión de hombro,2022-10-14,2022-11-20
Nikola Martinović,195,16,2022/2023,KK Vrijednosnice Osijek,83,Tendinitis rotuliana,2023-03-12,2023-04-12
Ivan Pavić,207,19,2022/2023,KK Vrijednosnice Osijek,83,Lesión de cuádriceps,2023-05-28,2023-06-11
Ivan Pavić,207,19,2022/2023,KK Vrijednosnice Osijek,83,Lesión de isquiotibiales,2023-04-05,2023-05-05
Ivan Pavić,207,19,2022/2023,KK Vrijednosnice Osijek,83,Rotura de fibras,2022-09-10,2022-09-29
Ivan Pavić,207,19,2022/2023,KK Vrijednosnice Osijek,83,Lesión de cuádriceps,2022-12-02,2022-12-21
Matej Perković,207,21,2022/2023,KK Vrijednosnice Osijek,83,Lesión de cuádriceps,2022-12-08,2023-01-02
Matej Perković,207,21,2022/2023,KK Vrijednosnice Osijek,83,Fractura de dedo,2022-10-10,2022-11-03
Gojko Sudžum,203,27,2022/2023,KK Vrijednosnice Osijek,83,Lesión de isquiotibiales,2023-06-04,2023-06-30
Gojko Sudžum,203,27,2022/2023,KK Vrijednosnice Osijek,83,Rotura de fibras,2023-02-20,2023-03-06
Gojko Sudžum,203,27,2022/2023,KK Vrijednosnice Osijek,83,Lesión de hombro,2023-03-12,2023-03-31
Matej Tokić,202,19,2022/2023,KK Vrijednosnice Osijek,83,Distensión muscular,2022-11-24,2022-12-01
Matej Tokić,202,19,2022/2023,KK Vrijednosnice Osijek,83,Contusión muscular,2023-03-30,2023-04-02
Tadej Tomljenović,192,20,2022/2023,KK Vrijednosnice Osijek,83,Fractura de dedo,2023-01-24,2023-02-27
Tadej Tomljenović,192,20,2022/2023,KK Vrijednosnice Osijek,83,Contusión muscular,2023-06-01,2023-06-07
Tadej Tomljenović,192,20,2022/2023,KK Vrijednosnice Osijek,83,Fractura de dedo,2023-04-29,2023-05-28
Budimir Veljko,198,37,2022/2023,KK Vrijednosnice Osijek,83,Lesión de cuádriceps,2023-04-25,2023-05-19
Budimir Veljko,198,37,2022/2023,KK Vrijednosnice Osijek,83,Tendinitis rotuliana,2023-05-29,2023-06-24
Kristijan Vladović,189,23,2022/2023,KK Vrijednosnice Osijek,83,Distensión muscular,2022-11-10,2022-11-18
Kristijan Vladović,189,23,2022/2023,KK Vrijednosnice Osijek,83,Tendinitis rotuliana,2023-05-05,2023-05-20
Kristijan Vladović,189,23,2022/2023,KK Vrijednosnice Osijek,83,Lesión de cuádriceps,2023-05-23,2023-06-05
